"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"262","Mammal","Macropus antilopinus",6813,38,0.159,128
"263","Mammal","Macropus dorsalis",2813,38,0.169,128
"264","Mammal","Macropus eugenii",1625,38,0.182,128
"265","Mammal","Macropus fuliginosus",5500,38,0.127,128
"266","Mammal","Macropus giganteus",6469,38,0.128,128
"267","Mammal","Macropus giganteus",6469,38,0.127,128
"268","Mammal","Macropus parma",1125,38,0.37,128
"269","Mammal","Macropus parma",1125,38,0.323,128
"270","Mammal","Macropus parryi",3375,38,0.256,128
"271","Mammal","Macropus robustus",5316,38,0.137,128
"272","Mammal","Macropus rufogriseus",4213,38,0.169,128
"273","Mammal","Macropus rufogriseus",4213,38,0.137,128
"274","Mammal","Macropus rufus",11560,38,0.127,128
"275","Mammal","Macropus rufus",11560,38,0.115,128
"276","Mammal","Macropus rufus",11560,38,0.084,128
"277","Mammal","Marmota marmota",1313,38,0.169,128
"278","Mammal","Martes martes",325,38,0.256,128
"279","Mammal","Martes zibellina",295,38,0.28,3
"280","Mammal","Mazama americana",5700,38,0.213,128
"281","Mammal","Mazama americana",5700,38,0.213,128
"282","Mammal","Megaptera novaeangliae",7500000,38,0.033,128
"283","Mammal","Megaptera novaeangliae",7500000,38,0.026,128
"284","Mammal","Mellivora capensis",2000,38,0.096,128
"285","Mammal","Mephitis mephitis",521.3,38,0.435,128
"286","Mammal","Mesocricetus auratus",26.25,38,0.909,128
"287","Mammal","Mesocricetus auratus",26.25,38,0.256,128
"288","Mammal","Microgale dobsoni",9.75,38,0.467,128
"289","Mammal","Microgale talazaci",12.5,38,0.45,128
"290","Mammal","Micromys minutus",1.5,38,2,128
"291","Mammal","Microtus agrestis",10,38,1.852,128
"292","Mammal","Microtus oeconomus",8.055,38,2.174,128
"293","Mammal","Miopithecus talapoin",312.5,38,0.09,128
"294","Mammal","Mirounga angustirostris",6e+05,38,0.182,128
"295","Mammal","Mirounga angustirostris",6e+05,38,0.182,128
"296","Mammal","Mirounga angustirostris",6e+05,38,0.182,128
"297","Mammal","Mirounga leonina",4e+05,38,0.141,128
